"Question","Answer","Category","Group","Percentage"
"Express physical affection to male friends, like hugging, rubbing shoulders","No answer","Sexual Orientation","Straight",1
"Express physical affection to male friends, like hugging, rubbing shoulders","No answer","Sexual Orientation","Gay/Bisexual",0
"Cry","Often","All Men",NA,7
"Cry","Often","Age","18-34",13
"Cry","Often","Age","35-64",5
"Cry","Often","Age","65+",3
"Cry","Often","Race","White",6
"Cry","Often","Race","Non-White",10
"Cry","Often","Children","Has Children",3
"Cry","Often","Children","No Children",12
"Cry","Often","Sexual Orientation","Straight",4
"Cry","Often","Sexual Orientation","Gay/Bisexual",26
"Cry","Sometimes","All Men",NA,33
"Cry","Sometimes","Age","18-34",35
"Cry","Sometimes","Age","35-64",33
"Cry","Sometimes","Age","65+",30
"Cry","Sometimes","Race","White",33
"Cry","Sometimes","Race","Non-White",32
"Cry","Sometimes","Children","Has Children",32
"Cry","Sometimes","Children","No Children",33
"Cry","Sometimes","Sexual Orientation","Straight",30
"Cry","Sometimes","Sexual Orientation","Gay/Bisexual",48
"Cry","Rarely","All Men",NA,38
"Cry","Rarely","Age","18-34",30
"Cry","Rarely","Age","35-64",42
"Cry","Rarely","Age","65+",41
"Cry","Rarely","Race","White",41
"Cry","Rarely","Race","Non-White",32
"Cry","Rarely","Children","Has Children",42
"Cry","Rarely","Children","No Children",34
"Cry","Rarely","Sexual Orientation","Straight",41
"Cry","Rarely","Sexual Orientation","Gay/Bisexual",23
"Cry","Never, but open to it","All Men",NA,10
"Cry","Never, but open to it","Age","18-34",8
"Cry","Never, but open to it","Age","35-64",10
"Cry","Never, but open to it","Age","65+",12
"Cry","Never, but open to it","Race","White",11
"Cry","Never, but open to it","Race","Non-White",8
"Cry","Never, but open to it","Children","Has Children",11
"Cry","Never, but open to it","Children","No Children",8
"Cry","Never, but open to it","Sexual Orientation","Straight",11
"Cry","Never, but open to it","Sexual Orientation","Gay/Bisexual",2
"Cry","Never, and not open to it","All Men",NA,9
"Cry","Never, and not open to it","Age","18-34",14
"Cry","Never, and not open to it","Age","35-64",6
"Cry","Never, and not open to it","Age","65+",6
"Cry","Never, and not open to it","Race","White",6
"Cry","Never, and not open to it","Race","Non-White",15
"Cry","Never, and not open to it","Children","Has Children",7
"Cry","Never, and not open to it","Children","No Children",10
"Cry","Never, and not open to it","Sexual Orientation","Straight",10
"Cry","Never, and not open to it","Sexual Orientation","Gay/Bisexual",1
"Cry","No answer","All Men",NA,4
"Cry","No answer","Age","18-34",0
"Cry","No answer","Age","35-64",4
"Cry","No answer","Age","65+",9
"Cry","No answer","Race","White",4
"Cry","No answer","Race","Non-White",3
"Cry","No answer","Children","Has Children",5
"Cry","No answer","Children","No Children",3
"Cry","No answer","Sexual Orientation","Straight",5
"Cry","No answer","Sexual Orientation","Gay/Bisexual",1
"Get in a physical fight with another person","Often","All Men",NA,2
"Get in a physical fight with another person","Often","Age","18-34",5
"Get in a physical fight with another person","Often","Age","35-64",1
"Get in a physical fight with another person","Often","Age","65+",0
"Get in a physical fight with another person","Often","Race","White",0
"Get in a physical fight with another person","Often","Race","Non-White",5
"Get in a physical fight with another person","Often","Children","Has Children",1
"Get in a physical fight with another person","Often","Children","No Children",3
"Get in a physical fight with another person","Often","Sexual Orientation","Straight",2
"Get in a physical fight with another person","Often","Sexual Orientation","Gay/Bisexual",5
"Get in a physical fight with another person","Sometimes","All Men",NA,5
"Get in a physical fight with another person","Sometimes","Age","18-34",10
"Get in a physical fight with another person","Sometimes","Age","35-64",2
"Get in a physical fight with another person","Sometimes","Age","65+",5
"Get in a physical fight with another person","Sometimes","Race","White",5
"Get in a physical fight with another person","Sometimes","Race","Non-White",5
"Get in a physical fight with another person","Sometimes","Children","Has Children",4
"Get in a physical fight with another person","Sometimes","Children","No Children",6
"Get in a physical fight with another person","Sometimes","Sexual Orientation","Straight",4
"Get in a physical fight with another person","Sometimes","Sexual Orientation","Gay/Bisexual",4
"Get in a physical fight with another person","Rarely","All Men",NA,23
"Get in a physical fight with another person","Rarely","Age","18-34",22
"Get in a physical fight with another person","Rarely","Age","35-64",26
"Get in a physical fight with another person","Rarely","Age","65+",17
"Get in a physical fight with another person","Rarely","Race","White",22
"Get in a physical fight with another person","Rarely","Race","Non-White",25
"Get in a physical fight with another person","Rarely","Children","Has Children",24
"Get in a physical fight with another person","Rarely","Children","No Children",21
"Get in a physical fight with another person","Rarely","Sexual Orientation","Straight",25
"Get in a physical fight with another person","Rarely","Sexual Orientation","Gay/Bisexual",14
"Get in a physical fight with another person","Never, but open to it","All Men",NA,19
"Get in a physical fight with another person","Never, but open to it","Age","18-34",19
"Get in a physical fight with another person","Never, but open to it","Age","35-64",21
"Get in a physical fight with another person","Never, but open to it","Age","65+",14
"Get in a physical fight with another person","Never, but open to it","Race","White",20
"Get in a physical fight with another person","Never, but open to it","Race","Non-White",17
"Get in a physical fight with another person","Never, but open to it","Children","Has Children",21
"Get in a physical fight with another person","Never, but open to it","Children","No Children",17
"Get in a physical fight with another person","Never, but open to it","Sexual Orientation","Straight",19
"Get in a physical fight with another person","Never, but open to it","Sexual Orientation","Gay/Bisexual",16
"Get in a physical fight with another person","Never, and not open to it","All Men",NA,50
"Get in a physical fight with another person","Never, and not open to it","Age","18-34",43
"Get in a physical fight with another person","Never, and not open to it","Age","35-64",50
"Get in a physical fight with another person","Never, and not open to it","Age","65+",64
"Get in a physical fight with another person","Never, and not open to it","Race","White",52
"Get in a physical fight with another person","Never, and not open to it","Race","Non-White",47
